month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2013-04,2013-04-01,7920.0,2013-04-30,8098.0,0.01699910000000009,30,0.9982675099522879,-0.1732490047712143,-0.1994644631440834
2013-05,2013-05-02,8120.0,2013-05-31,8242.0,0.011381900000000132,30,0.9983811317620032,-0.161886823799684,-0.18810526598981303
2013-06,2013-06-03,8193.0,2013-06-28,7828.0,-0.03730104999999994,26,0.998008725116854,-0.1991274883145988,-0.22533615075049918
2013-07,2013-07-01,7903.0,2013-07-31,8049.0,0.013802400000000124,31,0.9981464742731295,-0.18535257268704752,-0.21156485254737456
2013-08,2013-08-01,8045.0,2013-08-30,7969.0,-0.00840069999999987,30,0.9980626229822652,-0.1937377017734776,-0.21994777961881207
2013-09,2013-09-02,8018.0,2013-09-30,8120.0,0.00939310000000014,29,0.9981563720025046,-0.18436279974953784,-0.21057533953369179
2013-10,2013-10-01,8150.0,2013-10-31,8427.0,0.02687115000000003,31,0.9984245880984599,-0.15754119015400914,-0.18376077354904652
2013-11,2013-11-01,8393.0,2013-11-29,8427.0,0.002559000000000015,29,0.9984501377836693,-0.15498622163306885,-0.18120647598723894
2013-12,2013-12-02,8413.0,2013-12-31,8633.0,0.021147700000000078,30,0.9986612870234572,-0.13387129765427552,-0.16009709698917574
2014-01,2014-01-02,8618.0,2014-01-27,8446.0,-0.018053199999999926,26,0.9984809967039883,-0.1519003296011734,-0.17812139434006946
2014-02,2014-02-05,8243.0,2014-02-27,8624.0,0.037256650000000086,23,0.9988529972742468,-0.11470027257531878,-0.14093110640452933
2014-03,2014-03-03,8566.0,2014-03-31,8789.0,0.02143225000000002,29,0.9990670739457551,-0.0932926054244887,-0.11952906111158956
2014-04,2014-04-01,8829.0,2014-04-30,8758.0,-0.007979349999999795,30,0.9989873548871903,-0.10126451128097402,-0.12749887346944488
2014-05,2014-05-02,8841.0,2014-05-30,9091.0,0.024103399999999966,29,0.9992281448052882,-0.07718551947117902,-0.10342620503290822
2014-06,2014-06-03,9104.0,2014-06-30,9290.0,0.017680300000000173,28,0.9994048113389742,-0.05951886610258139,-0.08576419109623812
2014-07,2014-07-01,9384.0,2014-07-31,9290.0,-0.01033369999999977,31,0.9993015358439848,-0.0698464156015155,-0.09608902848202705
