,trade_id,entry_date,exit_date,direction,entry_price,exit_price,quantity,pnl,realized_pnl,fees,notes
0,1,2020-03-16,2020-04-06,Short,15.757551191321292,15.631991225976368,100,12.555996534492486,12.555996534492486,0.0,
1,2,2020-04-07,2020-04-14,Short,15.770107611408012,16.134226551551716,100,-36.41189401437046,-23.855897479877974,0.0,
2,3,2020-07-08,2020-07-15,Short,18.494717960067938,18.67678126044545,100,-18.206330037751073,-42.06222751762905,0.0,
3,4,2020-07-16,2020-07-20,Short,18.620272675024342,18.563774136468385,100,5.649853855595666,-36.41237366203338,0.0,
4,5,2020-07-27,2020-07-28,Short,18.770945388680726,18.745831992382307,100,2.5113396298419133,-33.90103403219147,0.0,
5,6,2020-07-29,2020-08-11,Short,18.4947214105106,19.179010902971424,100,-68.42894924608238,-102.32998327827386,0.0,
6,7,2020-08-21,2020-09-04,Short,18.82744701306208,18.770947665241387,100,5.649934782069366,-96.68004849620449,0.0,
7,8,2020-09-07,2020-09-08,Short,18.89022438688473,18.833727881485487,100,5.649650539924167,-91.03039795628032,0.0,
8,9,2020-09-28,2020-10-05,Short,18.237323319311418,18.513550569308723,100,-27.622724999730508,-118.65312295601083,0.0,
9,10,2020-10-06,2020-10-08,Short,18.588890213740473,18.733279097891046,100,-14.43888841505725,-133.09201137106808,0.0,
10,11,2020-12-14,2020-12-25,Short,19.780416505564915,19.58135414123535,100,19.906236432956348,-113.18577493811173,0.0,
11,12,2021-01-08,2021-02-17,Short,20.138735621455346,20.503686430284542,100,-36.495080882919595,-149.68085582103134,0.0,
12,13,2021-02-18,2021-03-05,Short,20.570042494111146,21.014620665777166,100,-44.457817166602,-194.13867298763336,0.0,
13,14,2021-04-19,2021-04-21,Short,23.217604029561898,23.443214086169277,100,-22.561005660737976,-216.69967864837133,0.0,
14,15,2021-04-22,2021-06-04,Short,23.622366259212832,23.09152852906125,100,53.08377301515819,-163.61590563321315,0.0,
15,16,2021-07-14,2021-08-06,Short,23.151247616154844,22.69339887469384,100,45.78487414610031,-117.83103148711284,0.0,
16,17,2021-08-19,2021-08-31,Short,21.817513478895226,22.096202990130855,100,-27.86895112356298,-145.69998261067582,0.0,
17,18,2021-10-06,2021-10-20,Short,21.280037881653914,21.545459577148748,100,-26.54216954948332,-172.24215216015915,0.0,
18,19,2021-12-17,2021-12-21,Short,23.466241435180525,23.431109733234795,100,3.5131701945729787,-168.72898196558617,0.0,
19,20,2022-01-20,2022-02-07,Short,23.32572403634613,22.854992949830677,100,47.073108651545326,-121.65587331404085,0.0,
20,21,2022-02-08,2022-03-24,Short,23.227364543883485,23.85968589782715,100,-63.232135394366296,-184.88800870840714,0.0,
21,22,2022-04-26,2022-04-27,Short,22.559908041586162,22.01892370698561,100,54.09843346005516,-130.78957524835198,0.0,
22,23,2022-04-28,2022-05-26,Short,22.166463021857194,21.780045231411556,100,38.64177904456376,-92.14779620378822,0.0,
23,24,2022-06-20,2022-07-26,Short,20.810483039149563,19.826866099966686,100,98.36169391828768,6.213897714499467,0.0,
24,25,2022-09-16,2022-10-28,Short,19.946305489522757,18.01707052098533,100,192.92349685374256,199.13739456824203,0.0,
25,26,2023-02-24,2023-03-01,Short,21.23658770701246,21.09128899215998,100,14.52987148524798,213.66726605349,0.0,
26,27,2023-03-02,2023-03-30,Short,21.205994744518915,21.62659933896981,100,-42.06045944508965,171.60680660840035,0.0,
27,28,2023-04-26,2023-05-08,Short,21.1830534620807,21.810139142111154,100,-62.70856800304543,108.89823860535492,0.0,
28,29,2023-05-09,2023-05-10,Short,21.924843706367138,21.901901872186425,100,2.294183418071327,111.19242202342625,0.0,
29,30,2023-05-17,2023-06-26,Short,21.9095486110454,25.0067145553048,100,-309.7165944259402,-198.52417240251393,0.0,
30,31,2023-06-27,2023-08-29,Short,24.9608283443801,27.626031955999128,100,-266.52036116190277,-465.0445335644167,0.0,
31,32,2023-10-27,2023-10-30,Short,26.9967847482372,27.004932129617092,100,-0.8147381379892238,-465.859271702406,0.0,
32,33,2023-11-01,2023-11-02,Short,26.73610522493488,27.094537964170417,100,-35.843273923553554,-501.70254562595954,0.0,
33,34,2023-11-03,2023-11-06,Short,27.49370876398708,27.63219174416882,100,-13.848298018174177,-515.5508436441337,0.0,
34,35,2023-11-07,2023-11-08,Short,27.892877409500784,27.917314221980885,100,-2.4436812480100656,-517.9945248921438,0.0,
