strategy_name,total_trades,win_rate,avg_pnl,avg_holding_days,max_win,max_loss,monthly_win_rate,monthly_avg_return,max_monthly_loss,volatility_analysis,max_drawdown
法人買賣超策略,1523,44.254760341431385,0.029325279548188248,0.7977675640183848,10.979228486646884,-6.840579710144927,58.333333333333336,0.026490166106312437,-1.6218133302813267,"{'high_volatility': {'trades_count': 593, 'avg_pnl': 0.18451287840016287, 'win_rate': 45.531197301854974}, 'major_down': {'trades_count': 531, 'avg_pnl': 0.049745280100779575, 'win_rate': 45.00941619585687}, 'major_up': {'trades_count': 998, 'avg_pnl': 0.12250294997664865, 'win_rate': 44.98997995991984}}",
PCR比率策略,19,36.84210526315789,0.9204791563702056,73.63157894736842,39.07317474689275,-13.331847062757776,41.17647058823529,1.0950418583252335,-13.331847062757776,"{'high_volatility': {'trades_count': 19, 'avg_pnl': 0.9204791563702056, 'win_rate': 36.84210526315789}, 'major_down': {'trades_count': 15, 'avg_pnl': 1.8406964908334251, 'win_rate': 46.666666666666664}, 'major_up': {'trades_count': 18, 'avg_pnl': 1.0954289606299492, 'win_rate': 38.88888888888889}}",
買進持有,84,25.0,-25.544741632112654,30.0,7.359373800936229,-20.637193484875603,25.0,-2.4281331217622673,-20.637193484875603,,230.07008866887298
