original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/02,2018-01-02,TX,10629.0,10710.0,10621.0,10709.0,108602.0,-1.0
2018/01/02,2018-01-02,TX,10630.0,10650.0,10612.0,10613.0,9987.0,0.0
2018/01/02,2018-01-02,TX,10608.0,10691.0,10607.0,10691.0,2084.0,0.0
2018/01/02,2018-01-02,TX,10615.0,10632.0,10595.0,10598.0,283.0,0.0
2018/01/02,2018-01-02,TX,10590.0,10666.0,10587.0,10665.0,355.0,0.0
2018/01/02,2018-01-02,TX,10600.0,10605.0,10575.0,10575.0,51.0,0.0
2018/01/02,2018-01-02,TX,10505.0,10590.0,10505.0,10590.0,158.0,0.0
2018/01/02,2018-01-02,TX,10525.0,10534.0,10507.0,10507.0,37.0,0.0
2018/01/02,2018-01-02,TX,10121.0,10193.0,10121.0,10192.0,215.0,0.0
2018/01/02,2018-01-02,TX,10129.0,10141.0,10121.0,10121.0,81.0,0.0
2018/01/02,2018-01-02,TX,-18.0,-18.0,-19.0,-19.0,13.0,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/02,2018-01-02,TX,-43.0,-43.0,-43.0,-43.0,24.0,0.0
2018/01/02,2018-01-02,TX,-38.0,-38.0,-38.0,-38.0,30.0,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/02,2018-01-02,TX,-110.0,-110.0,-110.0,-110.0,5.0,0.0
2018/01/02,2018-01-02,TX,-512.0,-512.0,-515.0,-515.0,13.0,0.0
2018/01/02,2018-01-02,TX,-510.0,-510.0,-510.0,-510.0,3.0,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/02,2018-01-02,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,10748.0,10797.0,10729.0,10789.0,120998.0,0.0
2018/01/03,2018-01-03,TX,10715.0,10746.0,10693.0,10745.0,15370.0,0.0
2018/01/03,2018-01-03,TX,10732.0,10778.0,10718.0,10773.0,2927.0,0.0
2018/01/03,2018-01-03,TX,10697.0,10728.0,10676.0,10728.0,435.0,0.0
2018/01/03,2018-01-03,TX,10717.0,10757.0,10693.0,10750.0,506.0,0.0
2018/01/03,2018-01-03,TX,10677.0,10705.0,10654.0,10705.0,191.0,0.0
2018/01/03,2018-01-03,TX,10633.0,10677.0,10623.0,10675.0,217.0,0.0
2018/01/03,2018-01-03,TX,10592.0,10623.0,10585.0,10623.0,722.0,0.0
2018/01/03,2018-01-03,TX,10225.0,10276.0,10215.0,10269.0,710.0,0.0
2018/01/03,2018-01-03,TX,10199.0,10215.0,10185.0,10215.0,371.0,0.0
2018/01/03,2018-01-03,TX,-18.0,-18.0,-19.0,-18.0,165.0,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,-42.0,-42.0,-42.0,-42.0,71.0,0.0
2018/01/03,2018-01-03,TX,-115.0,-115.0,-115.0,-115.0,10.0,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,-517.0,-516.0,-522.0,-516.0,13.0,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/03,2018-01-03,TX,,,,,,0.0
2018/01/04,2018-01-04,TX,10831.0,10840.0,10770.0,10837.0,119190.0,0.0
2018/01/04,2018-01-04,TX,10792.0,10836.0,10788.0,10831.0,11136.0,0.0
2018/01/04,2018-01-04,TX,10813.0,10822.0,10754.0,10821.0,2617.0,0.0
2018/01/04,2018-01-04,TX,10775.0,10818.0,10774.0,10818.0,319.0,0.0
2018/01/04,2018-01-04,TX,10790.0,10801.0,10736.0,10801.0,356.0,0.0
2018/01/04,2018-01-04,TX,10756.0,10797.0,10756.0,10797.0,57.0,0.0
2018/01/04,2018-01-04,TX,10720.0,10723.0,10660.0,10723.0,112.0,0.0
2018/01/04,2018-01-04,TX,10680.0,10718.0,10680.0,10718.0,15.0,0.0
2018/01/04,2018-01-04,TX,10326.0,10326.0,10260.0,10321.0,339.0,0.0
